Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Long Statement,The length of the statement "config.dungeons.dungeonScore.scoreX=config.dungeons.dungeonScore.scoreX + (int)((config.dungeons.dungeonScore.scoreScaling - newValue) * 38.0);" is 143.,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Long Statement,The length of the statement "config.dungeons.dungeonScore.scoreY=config.dungeons.dungeonScore.scoreY + (int)((config.dungeons.dungeonScore.scoreScaling - newValue) * MinecraftClient.getInstance().textRenderer.fontHeight / 2.0);" is 198.,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Long Statement,The length of the statement ").controller(FloatFieldControllerBuilder::create).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.enableProfitCalculator")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.enableProfitCalculator.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.enableProfitCalculator`() -> config.dungeons.dungeonChestProfit.enableProfitCalculator`newValue -> config.dungeons.dungeonChestProfit.enableProfitCalculator=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.croesusProfit")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.croesusProfit.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.croesusProfit`() -> config.dungeons.dungeonChestProfit.croesusProfit`newValue -> config.dungeons.dungeonChestProfit.croesusProfit=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.includeKismet")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.includeKismet.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.includeKismet`() -> config.dungeons.dungeonChestProfit.includeKismet`newValue -> config.dungeons.dungeonChestProfit.includeKismet=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.includeEssence")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.includeEssence.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.includeEssence`() -> config.dungeons.dungeonChestProfit.includeEssence`newValue -> config.dungeons.dungeonChestProfit.includeEssence=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.neutralThreshold")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.neutralThreshold.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.neutralThreshold`() -> config.dungeons.dungeonChestProfit.neutralThreshold`newValue -> config.dungeons.dungeonChestProfit.neutralThreshold=newValue).controller(IntegerFieldControllerBuilder::create).build()).option(Option.<Formatting>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.neutralColor")).binding(defaults.dungeons.dungeonChestProfit.neutralColor`() -> config.dungeons.dungeonChestProfit.neutralColor`newValue -> config.dungeons.dungeonChestProfit.neutralColor=newValue).controller(ConfigUtils.getEnumDropdownControllerFactory(ConfigUtils.FORMATTING_FORMATTER)).build()).option(Option.<Formatting>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.profitColor")).binding(defaults.dungeons.dungeonChestProfit.profitColor`() -> config.dungeons.dungeonChestProfit.profitColor`newValue -> config.dungeons.dungeonChestProfit.profitColor=newValue).controller(ConfigUtils.getEnumDropdownControllerFactory(ConfigUtils.FORMATTING_FORMATTER)).build()).option(Option.<Formatting>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.lossColor")).binding(defaults.dungeons.dungeonChestProfit.lossColor`() -> config.dungeons.dungeonChestProfit.lossColor`newValue -> config.dungeons.dungeonChestProfit.lossColor=newValue).controller(ConfigUtils.getEnumDropdownControllerFactory(ConfigUtils.FORMATTING_FORMATTER)).build()).option(Option.<Formatting>createBuilder().name(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.incompleteColor")).description(OptionDescription.of(Text.translatable("skyblocker.config.dungeons.dungeonChestProfit.incompleteColor.@Tooltip"))).binding(defaults.dungeons.dungeonChestProfit.incompleteColor`() -> config.dungeons.dungeonChestProfit.incompleteColor`newValue -> config.dungeons.dungeonChestProfit.incompleteColor=newValue).controller(ConfigUtils.getEnumDropdownControllerFactory(ConfigUtils.FORMATTING_FORMATTER)).build()).build()).build();" is 4507.,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 270,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 300,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 38.0,18
forkassn3,de.hysky.skyblocker.config.categories,DungeonsCategory,create,Magic Number,The method contains a magic number: 2.0,18
forkassn3,de.hysky.skyblocker.config.categories,EventNotificationsCategory,create,Long Statement,The length of the statement "return ConfigCategory.createBuilder().name(Text.translatable("skyblocker.config.eventNotifications")).option(Option.<EventNotificationsConfig.Criterion>createBuilder().binding(defaults.eventNotifications.criterion`() -> config.eventNotifications.criterion`criterion -> config.eventNotifications.criterion=criterion).controller(ConfigUtils::createEnumCyclingListController).name(Text.translatable("skyblocker.config.eventNotifications.criterion")).build()).option(Option.<EventNotificationsConfig.Sound>createBuilder().binding(defaults.eventNotifications.reminderSound`() -> config.eventNotifications.reminderSound`sound -> config.eventNotifications.reminderSound=sound).controller(ConfigUtils::createEnumCyclingListController).name(Text.translatable("skyblocker.config.eventNotifications.notificationSound")).listener((soundOption`sound) -> {" is 842.,23
forkassn3,de.hysky.skyblocker.config.categories,EventNotificationsCategory,create,Long Statement,The length of the statement "if (sound.getSoundEvent() != null) MinecraftClient.getInstance().getSoundManager().play(PositionedSoundInstance.master(sound.getSoundEvent()`1f`1f));" is 149.,23
forkassn3,de.hysky.skyblocker.config.categories,EventNotificationsCategory,createGroups,Long Statement,The length of the statement "if (eventsReminderTimes.isEmpty()) return List.of(OptionGroup.createBuilder().option(LabelOption.create(Text.translatable("skyblocker.config.eventNotifications.monologue"))).build());" is 183.,54
forkassn3,de.hysky.skyblocker.config.categories,EventNotificationsCategory,createGroups,Long Statement,The length of the statement "groups.add(ListOption.<Integer>createBuilder().name(Text.literal(entry.getKey())).binding(EventNotifications.DEFAULT_REMINDERS`entry::getValue`integers -> entry.setValue(new IntImmutableList(integers))).controller(option -> () -> new DurationController(option)).description(OptionDescription.of(Text.translatable("skyblocker.config.eventNotifications.@Tooltip[0]")`Text.empty()`Text.translatable("skyblocker.config.eventNotifications.@Tooltip[1]")`Text.empty()`Text.translatable("skyblocker.config.eventNotifications.@Tooltip[2]"`entry.getKey()))).initial(60).collapsed(true).build());" is 585.,54
forkassn3,de.hysky.skyblocker.config.categories,EventNotificationsCategory,createGroups,Magic Number,The method contains a magic number: 60,54
forkassn3,de.hysky.skyblocker.config.categories,SlayersCategory,create,Long Statement,The length of the statement "return ConfigCategory.createBuilder().name(Text.translatable("skyblocker.config.slayer")).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.slayer.endermanSlayer")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.endermanSlayer.enableYangGlyphsNotification")).binding(defaults.slayers.endermanSlayer.enableYangGlyphsNotification`() -> config.slayers.endermanSlayer.enableYangGlyphsNotification`newValue -> config.slayers.endermanSlayer.enableYangGlyphsNotification=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.endermanSlayer.highlightBeacons")).binding(defaults.slayers.endermanSlayer.highlightBeacons`() -> config.slayers.endermanSlayer.highlightBeacons`newValue -> config.slayers.endermanSlayer.highlightBeacons=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.endermanSlayer.highlightNukekubiHeads")).binding(defaults.slayers.endermanSlayer.highlightNukekubiHeads`() -> config.slayers.endermanSlayer.highlightNukekubiHeads`newValue -> config.slayers.endermanSlayer.highlightNukekubiHeads=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.enableEffigyWaypoints")).binding(defaults.slayers.vampireSlayer.enableEffigyWaypoints`() -> config.slayers.vampireSlayer.enableEffigyWaypoints`newValue -> config.slayers.vampireSlayer.enableEffigyWaypoints=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.compactEffigyWaypoints")).binding(defaults.slayers.vampireSlayer.compactEffigyWaypoints`() -> config.slayers.vampireSlayer.compactEffigyWaypoints`newValue -> config.slayers.vampireSlayer.compactEffigyWaypoints=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.effigyUpdateFrequency")).description(OptionDescription.of(Text.translatable("skyblocker.config.slayer.vampireSlayer.effigyUpdateFrequency.@Tooltip"))).binding(defaults.slayers.vampireSlayer.effigyUpdateFrequency`() -> config.slayers.vampireSlayer.effigyUpdateFrequency`newValue -> config.slayers.vampireSlayer.effigyUpdateFrequency=newValue).controller(opt -> IntegerSliderControllerBuilder.create(opt).range(1`10).step(1)).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.enableHolyIceIndicator")).binding(defaults.slayers.vampireSlayer.enableHolyIceIndicator`() -> config.slayers.vampireSlayer.enableHolyIceIndicator`newValue -> config.slayers.vampireSlayer.enableHolyIceIndicator=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.holyIceIndicatorTickDelay")).binding(defaults.slayers.vampireSlayer.holyIceIndicatorTickDelay`() -> config.slayers.vampireSlayer.holyIceIndicatorTickDelay`newValue -> config.slayers.vampireSlayer.holyIceIndicatorTickDelay=newValue).controller(IntegerFieldControllerBuilder::create).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.holyIceUpdateFrequency")).description(OptionDescription.of(Text.translatable("skyblocker.config.slayer.vampireSlayer.holyIceUpdateFrequency.@Tooltip"))).binding(defaults.slayers.vampireSlayer.holyIceUpdateFrequency`() -> config.slayers.vampireSlayer.holyIceUpdateFrequency`newValue -> config.slayers.vampireSlayer.holyIceUpdateFrequency=newValue).controller(opt -> IntegerSliderControllerBuilder.create(opt).range(1`10).step(1)).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.enableHealingMelonIndicator")).binding(defaults.slayers.vampireSlayer.enableHealingMelonIndicator`() -> config.slayers.vampireSlayer.enableHealingMelonIndicator`newValue -> config.slayers.vampireSlayer.enableHealingMelonIndicator=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Float>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.healingMelonHealthThreshold")).binding(defaults.slayers.vampireSlayer.healingMelonHealthThreshold`() -> config.slayers.vampireSlayer.healingMelonHealthThreshold`newValue -> config.slayers.vampireSlayer.healingMelonHealthThreshold=newValue).controller(FloatFieldControllerBuilder::create).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.enableSteakStakeIndicator")).binding(defaults.slayers.vampireSlayer.enableSteakStakeIndicator`() -> config.slayers.vampireSlayer.enableSteakStakeIndicator`newValue -> config.slayers.vampireSlayer.enableSteakStakeIndicator=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.steakStakeUpdateFrequency")).description(OptionDescription.of(Text.translatable("skyblocker.config.slayer.vampireSlayer.steakStakeUpdateFrequency.@Tooltip"))).binding(defaults.slayers.vampireSlayer.steakStakeUpdateFrequency`() -> config.slayers.vampireSlayer.steakStakeUpdateFrequency`newValue -> config.slayers.vampireSlayer.steakStakeUpdateFrequency=newValue).controller(opt -> IntegerSliderControllerBuilder.create(opt).range(1`10).step(1)).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.enableManiaIndicator")).binding(defaults.slayers.vampireSlayer.enableManiaIndicator`() -> config.slayers.vampireSlayer.enableManiaIndicator`newValue -> config.slayers.vampireSlayer.enableManiaIndicator=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Integer>createBuilder().name(Text.translatable("skyblocker.config.slayer.vampireSlayer.maniaUpdateFrequency")).description(OptionDescription.of(Text.translatable("skyblocker.config.slayer.vampireSlayer.maniaUpdateFrequency.@Tooltip"))).binding(defaults.slayers.vampireSlayer.maniaUpdateFrequency`() -> config.slayers.vampireSlayer.maniaUpdateFrequency`newValue -> config.slayers.vampireSlayer.maniaUpdateFrequency=newValue).controller(opt -> IntegerSliderControllerBuilder.create(opt).range(1`10).step(1)).build()).build()).build();" is 6751.,16
forkassn3,de.hysky.skyblocker.config.categories,SlayersCategory,create,Magic Number,The method contains a magic number: 10,16
forkassn3,de.hysky.skyblocker.config.categories,SlayersCategory,create,Magic Number,The method contains a magic number: 10,16
forkassn3,de.hysky.skyblocker.config.categories,SlayersCategory,create,Magic Number,The method contains a magic number: 10,16
forkassn3,de.hysky.skyblocker.config.categories,SlayersCategory,create,Magic Number,The method contains a magic number: 10,16
forkassn3,de.hysky.skyblocker.config.categories,HelperCategory,create,Long Statement,The length of the statement "return ConfigCategory.createBuilder().name(Text.translatable("skyblocker.config.helpers")).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.enableNewYearCakesHelper")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.enableNewYearCakesHelper.@Tooltip"))).binding(defaults.helpers.enableNewYearCakesHelper`() -> config.helpers.enableNewYearCakesHelper`newValue -> config.helpers.enableNewYearCakesHelper=newValue).controller(ConfigUtils::createBooleanController).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.mythologicalRitual")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.mythologicalRitual.enableMythologicalRitualHelper")).binding(defaults.helpers.mythologicalRitual.enableMythologicalRitualHelper`() -> config.helpers.mythologicalRitual.enableMythologicalRitualHelper`newValue -> config.helpers.mythologicalRitual.enableMythologicalRitualHelper=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.jerry")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.jerry.enableJerryTimer")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.jerry.enableJerryTimer.@Tooltip"))).binding(defaults.helpers.jerry.enableJerryTimer`() -> config.helpers.jerry.enableJerryTimer`newValue -> config.helpers.jerry.enableJerryTimer=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.experiments")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.experiments.enableChronomatronSolver")).binding(defaults.helpers.experiments.enableChronomatronSolver`() -> config.helpers.experiments.enableChronomatronSolver`newValue -> config.helpers.experiments.enableChronomatronSolver=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.experiments.enableSuperpairsSolver")).binding(defaults.helpers.experiments.enableSuperpairsSolver`() -> config.helpers.experiments.enableSuperpairsSolver`newValue -> config.helpers.experiments.enableSuperpairsSolver=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.experiments.enableUltrasequencerSolver")).binding(defaults.helpers.experiments.enableUltrasequencerSolver`() -> config.helpers.experiments.enableUltrasequencerSolver`newValue -> config.helpers.experiments.enableUltrasequencerSolver=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing.enableFishingHelper")).binding(defaults.helpers.fishing.enableFishingHelper`() -> config.helpers.fishing.enableFishingHelper`newValue -> config.helpers.fishing.enableFishingHelper=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing.enableFishingTimer")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.fishing.enableFishingTimer.@Tooltip"))).binding(defaults.helpers.fishing.enableFishingTimer`() -> config.helpers.fishing.enableFishingTimer`newValue -> config.helpers.fishing.enableFishingTimer=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing.changeTimerColor")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.fishing.changeTimerColor.@Tooltip"))).binding(defaults.helpers.fishing.changeTimerColor`() -> config.helpers.fishing.changeTimerColor`newValue -> config.helpers.fishing.changeTimerColor=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Float>createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing.fishingTimerScale")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.fishing.fishingTimerScale.@Tooltip"))).binding(defaults.helpers.fishing.fishingTimerScale`() -> config.helpers.fishing.fishingTimerScale`newValue -> config.helpers.fishing.fishingTimerScale=newValue).controller(FloatFieldControllerBuilder::create).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fishing.hideOtherPlayers")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.fishing.hideOtherPlayers.@Tooltip"))).binding(defaults.helpers.fishing.hideOtherPlayersRods`() -> config.helpers.fishing.hideOtherPlayersRods`newValue -> config.helpers.fishing.hideOtherPlayersRods=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.fairySouls")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fairySouls.enableFairySoulsHelper")).binding(defaults.helpers.fairySouls.enableFairySoulsHelper`() -> config.helpers.fairySouls.enableFairySoulsHelper`newValue -> config.helpers.fairySouls.enableFairySoulsHelper=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fairySouls.highlightFoundSouls")).binding(defaults.helpers.fairySouls.highlightFoundSouls`() -> config.helpers.fairySouls.highlightFoundSouls`newValue -> config.helpers.fairySouls.highlightFoundSouls=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.fairySouls.highlightOnlyNearbySouls")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.fairySouls.highlightOnlyNearbySouls.@Tooltip"))).binding(defaults.helpers.fairySouls.highlightOnlyNearbySouls`() -> config.helpers.fairySouls.highlightOnlyNearbySouls`newValue -> config.helpers.fairySouls.highlightOnlyNearbySouls=newValue).controller(ConfigUtils::createBooleanController).build()).build()).group(OptionGroup.createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory")).collapsed(true).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableChocolateFactoryHelper")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableChocolateFactoryHelper.@Tooltip"))).binding(defaults.helpers.chocolateFactory.enableChocolateFactoryHelper`() -> config.helpers.chocolateFactory.enableChocolateFactoryHelper`newValue -> config.helpers.chocolateFactory.enableChocolateFactoryHelper=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableEggFinder")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableEggFinder.@Tooltip"))).binding(defaults.helpers.chocolateFactory.enableEggFinder`() -> config.helpers.chocolateFactory.enableEggFinder`newValue -> config.helpers.chocolateFactory.enableEggFinder=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.sendEggFoundMessages")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.sendEggFoundMessages.@Tooltip"))).binding(defaults.helpers.chocolateFactory.sendEggFoundMessages`() -> config.helpers.chocolateFactory.sendEggFoundMessages`newValue -> config.helpers.chocolateFactory.sendEggFoundMessages=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Waypoint.Type>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.waypointType")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.waypointType.@Tooltip"))).binding(defaults.helpers.chocolateFactory.waypointType`() -> config.helpers.chocolateFactory.waypointType`newValue -> config.helpers.chocolateFactory.waypointType=newValue).controller(ConfigUtils::createEnumCyclingListController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableTimeTowerReminder")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.enableTimeTowerReminder.@Tooltip"))).binding(defaults.helpers.chocolateFactory.enableTimeTowerReminder`() -> config.helpers.chocolateFactory.enableTimeTowerReminder`newValue -> config.helpers.chocolateFactory.enableTimeTowerReminder=newValue).controller(ConfigUtils::createBooleanController).build()).option(Option.<Boolean>createBuilder().name(Text.translatable("skyblocker.config.helpers.chocolateFactory.straySound")).description(OptionDescription.of(Text.translatable("skyblocker.config.helpers.chocolateFactory.straySound.@Tooltip"))).binding(defaults.helpers.chocolateFactory.straySound`() -> config.helpers.chocolateFactory.straySound`newValue -> config.helpers.chocolateFactory.straySound=newValue).controller(ConfigUtils::createBooleanController).build()).build()).build();" is 9741.,14
